actual,predicted,residual,violent_crime,Income,crime_quartile,income_group
112531.0,130215.73309959339,-17684.733099593388,415.2,25265.97014925373,0,low_income
107370.0,182822.8118910328,-75452.81189103279,415.2,27757.014925373136,0,high_income
143805.0,125110.15996376718,18694.840036232825,415.2,23161.305263157894,0,low_income
156113.0,142726.6971991244,13386.302800875594,415.2,24339.2,0,low_income
47795.0,512312.86443105654,-464517.86443105654,415.2,30416.48275862069,0,high_income
230732.0,157713.46086761323,73018.53913238677,415.2,27757.014925373136,0,high_income
453437.0,393965.28063424805,59471.71936575195,415.2,38478.71428571428,0,high_income
163499.0,1422228.821443115,-1258729.821443115,415.2,25265.97014925373,0,low_income
198121.0,232062.71135298983,-33941.711352989834,415.2,22959.347826086956,0,low_income
141432.0,183224.82290213302,-41792.82290213302,415.2,28390.166666666668,0,high_income
219019.0,228732.6130218047,-9713.61302180469,415.2,30416.48275862069,0,high_income
174004.0,131983.0685379493,42020.93146205071,415.2,23161.305263157894,0,low_income
182315.0,169647.07940807592,12667.920591924078,415.2,27757.014925373136,0,high_income
138987.0,129993.91104521044,8993.088954789564,415.2,27255.21568627451,0,low_income
112528.0,182380.05889178131,-69852.05889178131,415.2,27757.014925373136,0,high_income
196656.0,203480.70835256667,-6824.708352566668,415.2,30572.928571428572,0,high_income
204141.0,218207.2584978636,-14066.2584978636,415.2,27757.014925373136,0,high_income
482273.0,448431.49519434216,33841.50480565784,415.2,28215.352941176472,0,high_income
143825.0,143385.31525510372,439.6847448962799,415.2,25817.608695652172,0,low_income
331491.0,184110.82138192802,147380.17861807198,415.2,24339.2,0,low_income
117400.0,127500.87648035129,-10100.87648035129,415.2,23887.61038961039,0,low_income
413384.0,453306.49409241875,-39922.494092418754,415.2,29647.046875,0,high_income
6348238.0,3451207.36,2897030.64,415.2,30416.48275862069,0,high_income
189790.0,224440.12817664578,-34650.12817664578,415.2,27241.60606060606,0,low_income
104049.0,133721.92941155474,-29672.929411554738,415.2,23019.486956521738,0,low_income
151392.0,223665.0282442051,-72273.02824420511,415.2,27839.102564102563,0,high_income
230732.0,161141.3482304568,69590.65176954321,415.2,27757.014925373136,0,high_income
135467.0,142337.6058454687,-6870.605845468701,415.2,24859.01968503937,0,low_income
458553.0,492129.3203306259,-33576.320330625924,415.2,26512.25,0,low_income
324039.0,395956.4525632035,-71917.45256320352,415.2,27839.102564102563,0,high_income
129830.0,144095.6281598931,-14265.628159893095,415.2,27791.3125,0,high_income
48777.0,57829.40166059392,-9052.401660593918,415.2,27757.014925373136,0,high_income
171789.0,104618.2210483015,67170.7789516985,415.2,26332.69318181818,0,low_income
67293.0,70460.71150416722,-3167.7115041672223,415.2,22172.175,0,low_income
57387.0,202584.33487208097,-145197.33487208097,415.2,27757.014925373136,0,high_income
210697.0,184758.43566555556,25938.56433444444,415.2,27757.014925373136,0,high_income
212398.0,261305.71821150108,-48907.71821150108,415.2,27940.795698924732,0,high_income
151612.0,163813.0807656991,-12201.080765699095,415.2,27757.014925373136,0,high_income
239597.0,233677.7377200864,5919.262279913586,415.2,27255.21568627451,0,low_income
175960.0,178424.59065379068,-2464.590653790685,415.2,27757.014925373136,0,high_income
62741.0,155758.83052311203,-93017.83052311203,415.2,27757.014925373136,0,high_income
371476.0,290753.4590380682,80722.54096193181,415.2,38538.619047619046,0,high_income
108066.0,138382.38314520117,-30316.383145201165,415.2,22959.347826086956,0,low_income
172616.0,163153.5976829028,9462.402317097207,415.2,27757.014925373136,0,high_income
71403.0,155758.83052311203,-84355.83052311203,415.2,27757.014925373136,0,high_income
231859.0,226860.51008343467,4998.489916565333,415.2,27940.795698924732,0,high_income
133108.0,131274.38948170203,1833.6105182979663,415.2,22859.618181818183,0,low_income
342857.0,160660.8616861581,182196.1383138419,415.2,24859.01968503937,0,low_income
197227.0,202780.03091384794,-5553.030913847935,415.2,25817.608695652172,0,low_income
130298.0,127189.28313150564,3108.716868494361,415.2,22939.03125,0,low_income
49708.0,110181.59612836855,-60473.59612836855,415.2,26332.69318181818,0,low_income
165034.0,205524.9725096106,-40490.97250961061,415.2,28497.666666666668,0,high_income
84508.0,134177.84441897273,-49669.84441897273,415.2,25817.608695652172,0,low_income
110704.0,129844.64640761184,-19140.646407611843,415.2,23887.61038961039,0,low_income
323766.0,283910.01004419976,39855.989955800236,415.2,38538.619047619046,0,high_income
101960.0,116528.79584219854,-14568.795842198539,415.2,30045.354838709678,0,high_income
820334.0,572093.0195289364,248240.98047106364,415.2,27103.196428571428,0,low_income
64312.0,65274.277738769044,-962.2777387690439,415.2,27255.21568627451,0,low_income
363243.0,403696.85000787186,-40453.850007871864,415.2,27103.196428571428,0,low_income
358957.0,512312.86443105654,-153355.86443105654,415.2,30416.48275862069,0,high_income
192382.0,177876.93874111754,14505.061258882459,415.2,35127.791666666664,0,high_income
182425.0,177042.390622424,5382.609377576009,415.2,24339.2,0,low_income
186497.0,149211.5219930902,37285.478006909805,415.2,23335.0,0,low_income
179261.0,167178.0122960161,12082.987703983905,415.2,27757.014925373136,0,high_income
186644.0,194801.31598596356,-8157.315985963563,415.2,30045.354838709678,0,high_income
292880.0,313250.25417688384,-20370.254176883842,415.2,23161.305263157894,0,low_income
598980.0,464054.9196863275,134925.0803136725,415.2,29647.046875,0,high_income
137333.0,198693.36454227567,-61360.36454227567,415.2,27940.795698924732,0,high_income
85614.0,108318.90715219035,-22704.907152190353,415.2,29711.57471264368,0,high_income
158807.0,133817.13433973186,24989.865660268144,415.2,23019.486956521738,0,low_income
76685.0,98212.34187858956,-21527.341878589563,415.2,25817.608695652172,0,low_income
226118.0,260849.85260439283,-34731.85260439283,415.2,28390.166666666668,0,high_income
169337.0,116779.05233942624,52557.94766057376,415.2,27255.21568627451,0,low_income
44962.0,55241.024427811986,-10279.024427811986,415.2,27757.014925373136,0,high_income
50294.0,57616.06271256635,-7322.062712566352,415.2,22859.618181818183,0,low_income
105271.0,110581.0930682854,-5310.093068285394,415.2,23887.61038961039,0,low_income
616697.0,636060.4953031524,-19363.495303152362,415.2,30416.48275862069,0,high_income
264385.0,225352.03387255658,39032.96612744342,415.2,25595.710843373494,0,low_income
112971.0,148248.60104874911,-35277.601048749115,415.2,28912.0,0,high_income
237033.0,283753.4228048005,-46720.4228048005,415.2,25595.710843373494,0,low_income
290790.0,323258.5001300647,-32468.500130064727,415.2,27940.795698924732,0,high_income
57328.0,81349.96346671136,-24021.963466711357,415.2,20127.743902439026,0,low_income
194052.0,126962.68406355416,67089.31593644584,415.2,22305.30188679245,0,low_income
76335.0,359642.7967587712,-283307.7967587712,415.2,35127.791666666664,0,high_income
133768.0,359642.7967587712,-225874.79675877118,415.2,35127.791666666664,0,high_income
212493.0,227738.3901236027,-15245.390123602701,415.2,27103.196428571428,0,low_income
296035.0,286333.3025105481,9701.697489451908,415.2,38538.619047619046,0,high_income
244272.0,229417.76159382862,14854.238406171382,415.2,28912.0,0,high_income
206788.0,167585.76741383222,39202.23258616778,415.2,27757.014925373136,0,high_income
184993.0,201072.3121862192,-16079.312186219206,415.2,30045.354838709678,0,high_income
51475.0,131283.30134930278,-79808.30134930278,415.2,26332.69318181818,0,low_income
64176.0,155758.83052311203,-91582.83052311203,415.2,27757.014925373136,0,high_income
387303.0,294520.5873229506,92782.4126770494,415.2,23161.305263157894,0,low_income
103043.0,99540.45430522025,3502.54569477975,415.2,27757.014925373136,0,high_income
208979.0,175690.49004193407,33288.50995806593,415.2,27757.014925373136,0,high_income
234978.0,208620.9125812377,26357.087418762298,415.2,27757.014925373136,0,high_income
281243.0,284533.4706121247,-3290.4706121247145,415.2,22305.30188679245,0,low_income
275394.0,257114.30366098843,18279.69633901157,415.2,29711.57471264368,0,high_income
357694.0,368129.55570615834,-10435.555706158339,415.2,22305.30188679245,0,low_income
93865.0,103558.62739550753,-9693.62739550753,415.2,28497.666666666668,0,high_income
254882.0,309374.4875510367,-54492.4875510367,415.2,38538.619047619046,0,high_income
557085.0,727722.2223076898,-170637.22230768984,415.2,38538.619047619046,0,high_income
169628.0,171111.46632964927,-1483.4663296492654,415.2,27757.014925373136,0,high_income
186431.0,170613.84625314616,15817.153746853844,415.2,27255.21568627451,0,low_income
144679.0,108682.7367723342,35996.2632276658,415.2,27255.21568627451,0,low_income
275917.0,251216.21028254725,24700.789717452746,415.2,23335.0,0,low_income
192716.0,112803.7658156501,79912.2341843499,415.2,24859.01968503937,0,low_income
269820.0,294290.13798957237,-24470.137989572366,415.2,30416.48275862069,0,high_income
180295.0,206881.41267475765,-26586.412674757652,415.2,23335.0,0,low_income
105164.0,97942.23980653306,7221.7601934669365,415.2,27255.21568627451,0,low_income
185236.0,180144.98062599055,5091.019374009455,415.2,29711.57471264368,0,high_income
105064.0,122091.51178863372,-17027.511788633725,415.2,24859.01968503937,0,low_income
168180.0,115190.80824307665,52989.19175692335,415.2,22305.30188679245,0,low_income
183490.0,171758.4881047118,11731.51189528819,415.2,27757.014925373136,0,high_income
445348.0,455378.5333729283,-10030.533372928272,415.2,38538.619047619046,0,high_income
121830.0,132004.78927822947,-10174.789278229466,415.2,27757.014925373136,0,high_income
199504.0,194800.4375716545,4703.562428345496,415.2,28497.666666666668,0,high_income
372656.0,422040.20839703357,-49384.208397033566,415.2,35127.791666666664,0,high_income
189700.0,177813.65050901138,11886.349490988621,415.2,28390.166666666668,0,high_income
184275.0,156691.716108793,27583.283891206986,415.2,24339.2,0,low_income
246087.0,173703.21308239625,72383.78691760375,415.2,27757.014925373136,0,high_income
118194.0,106133.04615072416,12060.953849275844,415.2,20127.743902439026,0,low_income
537811.0,664872.1917658265,-127061.19176582654,415.2,30416.48275862069,0,high_income
342072.0,401868.3657071287,-59796.365707128716,797.0,27839.102564102563,1,high_income
313160.0,191812.4100607954,121347.5899392046,415.2,22180.492537313432,0,low_income
179847.0,174421.30168098156,5425.69831901844,415.2,27241.60606060606,0,low_income
137612.0,117947.21226541679,19664.78773458321,415.2,28912.0,0,high_income
175537.0,62533.10166958785,113003.89833041215,415.2,27757.014925373136,0,high_income
207589.0,216600.26912448465,-9011.26912448465,415.2,27255.21568627451,0,low_income
483980.0,488222.8127323077,-4242.812732307706,415.2,30416.48275862069,0,high_income
225504.0,245870.81288999607,-20366.812889996072,415.2,28390.166666666668,0,high_income
143144.0,118340.71692386638,24803.283076133623,415.2,26332.69318181818,0,low_income
179938.0,160660.8616861581,19277.13831384189,415.2,24859.01968503937,0,low_income
265057.0,284787.65176853613,-19730.651768536132,415.2,24859.01968503937,0,low_income
219720.0,219597.25765514822,122.74234485178022,415.2,24859.01968503937,0,low_income
75727.0,77847.47602181697,-2120.4760218169686,415.2,22172.175,0,low_income
144878.0,179439.82206764308,-34561.82206764308,415.2,26332.69318181818,0,low_income
154268.0,177084.38183698952,-22816.381836989516,415.2,23019.486956521738,0,low_income
236427.0,239950.26888687987,-3523.2688868798723,415.2,28390.166666666668,0,high_income
298762.0,134945.57203251473,163816.42796748527,415.2,22939.03125,0,low_income
291327.0,264513.9454107659,26813.054589234118,415.2,30045.354838709678,0,high_income
132767.0,221059.42456352658,-88292.42456352658,415.2,27757.014925373136,0,high_income
348264.0,320203.9877382704,28060.01226172957,415.2,24339.2,0,low_income
508074.0,551530.9357068021,-43456.93570680206,415.2,30045.354838709678,0,high_income
351595.0,382911.3066563016,-31316.306656301604,415.2,25265.97014925373,0,low_income
180139.0,195487.1117360929,-15348.111736092891,415.2,24859.01968503937,0,low_income
411363.0,439075.08731933637,-27712.087319336366,415.2,27255.21568627451,0,low_income
165049.0,180815.59501062217,-15766.595010622172,415.2,38478.71428571428,0,high_income
283754.0,298704.6644043237,-14950.664404323674,415.2,27757.014925373136,0,high_income
169628.0,167585.76741383222,2042.2325861677818,415.2,27757.014925373136,0,high_income
230732.0,165354.54801329097,65377.45198670903,415.2,27757.014925373136,0,high_income
196890.0,178698.03985843927,18191.960141560732,973.4,23161.305263157894,1,low_income
72811.0,79541.33248517901,-6730.332485179009,415.2,26332.69318181818,0,low_income
250866.0,231172.24511146476,19693.754888535244,415.2,24339.2,0,low_income
