City,State,Annualized_Return,Volatility,Sharpe_Ratio,Avg_Math_8_Score,Income_Per_Capita
Weedsport,New York,0.11655583769331564,0.00429709581726806,27.124328302136316,,30045.354838709678
Kitzmiller,Maryland,0.176609015104436,0.007383585332479452,23.919140519383642,278.9166666666667,35127.791666666664
Lexington,Oklahoma,0.2609781157045251,0.011461036865173291,22.77089924538683,273.0,23887.61038961039
Batchtown,Illinois,0.1591539644472509,0.00715937967625239,22.230133285871602,278.90909090909093,27255.21568627451
Bandana,Kentucky,0.11258138359934217,0.005324043757180174,21.145841156453933,274.3333333333333,22172.175
Lindsay,Texas,0.11810074180262656,0.00562904269792461,20.980608629273586,279.25,24859.01968503937
Weeki Wachee,Florida,0.2923492634799321,0.01576745271422612,18.541312206768897,273.45454545454544,25265.97014925373
Gerlach,Nevada,0.4634743036002188,0.02499787959548445,18.540544682195346,272.8,28215.352941176472
Melrose Park,New York,0.14646949218751967,0.008205005826016647,17.851235610715886,,30045.354838709678
Union,Wisconsin,0.20075114315733217,0.011615835898072677,17.282539536447928,285.3636363636364,28390.166666666668
Edison,New Jersey,0.11361496153028734,0.006590419970253562,17.239411455278788,,38538.619047619046
Roachdale,Indiana,0.13563233449614318,0.008059558936893302,16.828753975019012,282.25,25817.608695652172
Longview,Washington,0.29718170554535117,0.01844829023268151,16.10890233171245,286.6666666666667,27839.102564102563
Northville,South Dakota,0.10823944537821523,0.006826777643462148,15.85512975977381,,27241.60606060606
North Buffalo Township,Pennsylvania,0.09555928776963421,0.006042628025248916,15.814193322895761,282.0,27757.014925373136
Lake Kiowa,Texas,0.131761773710066,0.008351802753563255,15.776447025625755,279.25,24859.01968503937
Chino Hills,California,0.13721369677100617,0.008701475920896115,15.769014132590431,269.1666666666667,30416.48275862069
Shelley,Idaho,0.1860745857597914,0.011817358479498793,15.745869610590281,281.8333333333333,23335.0
College Place,Washington,0.20192764599839183,0.012834881011958931,15.732724425746156,286.6666666666667,27839.102564102563
Sequim,Washington,0.2075621816920189,0.013222241940590336,15.697956717524097,286.6666666666667,27839.102564102563
Draper,Utah,0.17895262434120704,0.011412241395955522,15.680760521296678,281.6363636363636,24433.758620689656
Vienna,Louisiana,0.09098763234614643,0.005815681455629685,15.645222841094359,265.5,22939.03125
Zuni,Virginia,0.16623015667301955,0.010721967269947659,15.503699320081122,282.4166666666667,28912.0
Bluffton,Minnesota,0.0913736753022583,0.0059102202023227435,15.460282726242253,290.0,29711.57471264368
Elkland,Missouri,0.16991693814395945,0.011073442096143391,15.344545685856556,279.27272727272725,23019.486956521738
Penn Yan,New York,0.12471488811456151,0.008143535584835939,15.31458748050329,,30045.354838709678
Holladay,Utah,0.20556722152113796,0.013424327455326833,15.313036888083952,281.6363636363636,24433.758620689656
Haswell,Colorado,0.14647623826143288,0.009569048146526064,15.307294520679097,283.1818181818182,29647.046875
Dallesport,Washington,0.25429905380251216,0.016693048897305048,15.233829084605784,286.6666666666667,27839.102564102563
Scott Township,Pennsylvania,0.12400779393707717,0.008165547445083243,15.186709130169408,282.0,27757.014925373136
Lewisville,Arkansas,0.0440927370811814,0.002905161074183331,15.177381203751773,269.75,21449.306666666667
Coolidge,Arizona,0.3283685263392939,0.021710699238440434,15.124732867096819,274.6666666666667,22712.2
West Des Moines,Iowa,0.10433843210558294,0.006937640713630658,15.039468950962693,283.8181818181818,28497.666666666668
Elizabeth,Colorado,0.15861159967404648,0.010589824725606198,14.977736061157236,283.1818181818182,29647.046875
Salt Lake City,Utah,0.19617650535584455,0.013130637971717854,14.940363581601297,281.6363636363636,24433.758620689656
East Prairie,Missouri,0.14556868357682082,0.009758115589954236,14.917704369753578,279.27272727272725,23019.486956521738
Pullman,Washington,0.18225996544181475,0.012246448053973102,14.8826798299842,286.6666666666667,27839.102564102563
Bremerton,Washington,0.2105689708965992,0.01421318294560823,14.815046826767503,286.6666666666667,27839.102564102563
Gambier,Ohio,0.20152086714594866,0.01360288492129648,14.814568256065337,282.25,26332.69318181818
Lewiston,Idaho,0.1879053619431231,0.012714415579888358,14.778922457147893,281.8333333333333,23335.0
Lakemoor,Illinois,0.13516459522593927,0.009184139929738898,14.71717507137132,278.90909090909093,27255.21568627451
Windsor,Connecticut,0.09852534646755329,0.006713233454173127,14.676287833593404,282.25,39419.125
Kearns,Utah,0.23097396802668016,0.015764972003110833,14.651086470759546,281.6363636363636,24433.758620689656
Sandy,Utah,0.1883472637780956,0.012857205405896124,14.649160360440561,281.6363636363636,24433.758620689656
Flemington,Pennsylvania,0.11080297982914282,0.007566372140909927,14.644135626114965,282.0,27757.014925373136
Brunswick,Ohio,0.11272823699409276,0.007708369796451055,14.624134540871795,282.25,26332.69318181818
Lynnville,Tennessee,0.16951874968330605,0.011606384926118304,14.60564600970896,272.54545454545456,23161.305263157894
Monrovia,California,0.17299766487616933,0.011870398265639945,14.57387199694288,269.1666666666667,30416.48275862069
Oakesdale,Washington,0.19175534660893012,0.013159129011903253,14.57203941351099,286.6666666666667,27839.102564102563
Channahon,Illinois,0.09567840707644079,0.006600765804316397,14.495046470801071,278.90909090909093,27255.21568627451
