metric,value
NBA_H_Mean,189.80437630662024
NBA_H_Std,6.25249404724825
NBA_W_Mean,183.4390243902439
NBA_W_Std,9.861432371613564
Soccer_H_Mean,181.62044929277988
Soccer_H_Std,6.184011187063587
Soccer_W_Mean,167.53055375797356
Soccer_W_Std,14.003592602173732
Olympic_H_Mean,175.3590217112801
Olympic_H_Std,10.542028094875693
Olympic_W_Mean,70.6759793281154
Olympic_W_Std,14.323535560817401
ANOVA_H_F,3212.1338035065196
ANOVA_H_P,0.0
ANOVA_W_F,277051.00773769995
ANOVA_W_P,0.0
D_H_NBA_Soccer,1.3216793345373583
D_W_NBA_Soccer,1.1711064535552862
D_H_NBA_Olympic,1.3733313229528503
D_W_NBA_Olympic,7.886864352460481
D_H_Soccer_Olympic,0.6038712234679928
D_W_Soccer_Olympic,6.769351826970785
