label,temp_mean,temp_range,temp_dominant_freq,precip_mean,precip_range,precip_dominant_freq
Barley,25.1783333325,6.253333340000001,0.25,6.229166665749999,10.229999997,0.25
Barley,25.1783333325,6.253333340000001,0.25,6.229166665749999,10.229999997,0.25
Barley,25.1783333325,6.253333340000001,0.25,6.229166665749999,10.229999997,0.25
Barley,25.1783333325,6.253333340000001,0.25,6.229166665749999,10.229999997,0.25
Barley,25.1783333325,6.253333340000001,0.25,6.229166665749999,10.229999997,0.25
Barley,25.1783333325,6.253333340000001,0.25,6.229166665749999,10.229999997,0.25
Barley,25.1783333325,6.253333340000001,0.25,6.229166665749999,10.229999997,0.25
Barley,25.1783333325,6.253333340000001,0.25,6.229166665749999,10.229999997,0.25
Barley,25.1783333325,6.253333340000001,0.25,6.229166665749999,10.229999997,0.25
Barley,25.1783333325,6.253333340000001,0.25,6.229166665749999,10.229999997,0.25
Barley,25.1783333325,6.253333340000001,0.25,6.229166665749999,10.229999997,0.25
Barley,25.1783333325,6.253333340000001,0.25,6.229166665749999,10.229999997,0.25
Barley,25.1783333325,6.253333340000001,0.25,6.229166665749999,10.229999997,0.25
Barley,25.1783333325,6.253333340000001,0.25,6.229166665749999,10.229999997,0.25
Barley,25.1783333325,6.253333340000001,0.25,6.229166665749999,10.229999997,0.25
Barley,25.1783333325,6.253333340000001,0.25,6.229166665749999,10.229999997,0.25
Barley,25.1783333325,6.253333340000001,0.25,6.229166665749999,10.229999997,0.25
Barley,21.556666667499996,19.213333329999998,0.25,3.45333333325,6.35,0.25
Barley,21.556666667499996,19.213333329999998,0.25,3.45333333325,6.35,0.25
Barley,21.556666667499996,19.213333329999998,0.25,3.45333333325,6.35,0.25
Barley,21.556666667499996,19.213333329999998,0.25,3.45333333325,6.35,0.25
Barley,21.556666667499996,19.213333329999998,0.25,3.45333333325,6.35,0.25
Barley,21.556666667499996,19.213333329999998,0.25,3.45333333325,6.35,0.25
Barley,21.556666667499996,19.213333329999998,0.25,3.45333333325,6.35,0.25
Barley,23.053333334999998,5.0,0.25,3.2883333332499998,2.7633333340000004,0.25
Barley,21.556666667499996,19.213333329999998,0.25,3.45333333325,6.35,0.25
Barley,21.556666667499996,19.213333329999998,0.25,3.45333333325,6.35,0.25
Barley,21.556666667499996,19.213333329999998,0.25,3.45333333325,6.35,0.25
Barley,21.556666667499996,19.213333329999998,0.25,3.45333333325,6.35,0.25
