scene_code,month,monitor_col,auc,ks
SCENE_000001,2024-05,cro_general,0.5803,0.1129
SCENE_000001,2024-05,cro_general_reg,0.5797,0.108
SCENE_000001,2024-05,cro_general_mle,0.5861,0.1205
SCENE_000001,2024-05,cro_sceneid,0.5806,0.1161
SCENE_000001,2024-06,cro_general,0.5857,0.1197
SCENE_000001,2024-06,cro_general_reg,0.5874,0.1253
SCENE_000001,2024-06,cro_general_mle,0.5891,0.1291
SCENE_000001,2024-06,cro_sceneid,0.5878,0.1239
SCENE_000001,2024-07,cro_general,0.5889,0.1248
SCENE_000001,2024-07,cro_general_reg,0.5917,0.1296
SCENE_000001,2024-07,cro_general_mle,0.5897,0.1277
SCENE_000001,2024-07,cro_sceneid,0.595,0.1371
SCENE_000001,2024-08,cro_general,0.5836,0.117
SCENE_000001,2024-08,cro_general_reg,0.586,0.1214
SCENE_000001,2024-08,cro_general_mle,0.5868,0.1247
SCENE_000001,2024-08,cro_sceneid,0.5883,0.1242
SCENE_000001,2024-09,cro_general,0.5894,0.1267
SCENE_000001,2024-09,cro_general_reg,0.5923,0.1346
SCENE_000001,2024-09,cro_general_mle,0.59,0.129
SCENE_000001,2024-09,cro_sceneid,0.5964,0.1424
SCENE_000001,2024-10,cro_general,0.5925,0.1347
SCENE_000001,2024-10,cro_general_reg,0.5965,0.1409
SCENE_000001,2024-10,cro_general_mle,0.592,0.1339
SCENE_000001,2024-10,cro_sceneid,0.6011,0.1484
SCENE_000001,2024-11,cro_general,0.5882,0.1277
SCENE_000001,2024-11,cro_general_reg,0.5927,0.1369
SCENE_000001,2024-11,cro_general_mle,0.5862,0.1252
SCENE_000001,2024-11,cro_sceneid,0.5976,0.1464
SCENE_000001,2024-12,cro_general,0.5868,0.1299
SCENE_000001,2024-12,cro_general_reg,0.5921,0.1365
SCENE_000001,2024-12,cro_general_mle,0.5852,0.1268
SCENE_000001,2024-12,cro_sceneid,0.5956,0.1422
SCENE_000001,2025-01,cro_general,0.58,0.118
SCENE_000001,2025-01,cro_general_reg,0.5841,0.1238
SCENE_000001,2025-01,cro_general_mle,0.5778,0.1123
SCENE_000001,2025-01,cro_sceneid,0.5892,0.1347
SCENE_000001,2025-02,cro_general,0.579,0.1175
SCENE_000001,2025-02,cro_general_reg,0.5826,0.1234
SCENE_000001,2025-02,cro_general_mle,0.5758,0.1109
SCENE_000001,2025-02,cro_sceneid,0.589,0.1352
SCENE_000001,2025-03,cro_general,0.5842,0.1258
SCENE_000001,2025-03,cro_general_reg,0.5863,0.126
SCENE_000001,2025-03,cro_general_mle,0.5823,0.1242
SCENE_000001,2025-03,cro_sceneid,0.5901,0.1336
SCENE_000001,2025-04,cro_general,0.5824,0.1202
SCENE_000001,2025-04,cro_general_reg,0.5858,0.1247
SCENE_000001,2025-04,cro_general_mle,0.5798,0.1154
SCENE_000001,2025-04,cro_sceneid,0.5896,0.1343
SCENE_000001,2025-05,cro_general,0.5769,0.1138
SCENE_000001,2025-05,cro_general_reg,0.579,0.1164
SCENE_000001,2025-05,cro_general_mle,0.5754,0.1104
SCENE_000001,2025-05,cro_sceneid,0.583,0.1238
SCENE_000001,2025-06,cro_general,0.5696,0.1054
SCENE_000001,2025-06,cro_general_reg,0.5709,0.1119
SCENE_000001,2025-06,cro_general_mle,0.5663,0.0997
SCENE_000001,2025-06,cro_sceneid,0.574,0.1136
SCENE_000001,2025-07,cro_general,0.5642,0.1105
SCENE_000001,2025-07,cro_general_reg,0.5642,0.1065
SCENE_000001,2025-07,cro_general_mle,0.5611,0.0984
SCENE_000001,2025-07,cro_sceneid,0.5643,0.1073
SCENE_000002,2024-04,cro_general,0.6293,0.1926
SCENE_000002,2024-04,cro_general_reg,0.6332,0.2129
SCENE_000002,2024-04,cro_general_mle,0.646,0.233
