year,athlete_category,Height,Weight,count
1946,Other,175.82971014492753,71.08635265700484,0.0
1947,Other,175.82971014492753,71.08635265700484,0.0
1948,Other,175.82971014492753,71.08635265700484,828.0
1949,Other,175.82971014492753,71.08635265700484,0.0
1950,Other,175.82971014492753,71.08635265700484,0.0
1951,Other,175.82971014492753,71.08635265700484,0.0
1952,Other,173.20615034168566,69.00170842824602,1756.0
1953,Other,173.20615034168566,69.00170842824602,0.0
1954,Other,173.20615034168566,69.00170842824602,0.0
1955,Other,173.20615034168566,69.00170842824602,0.0
1956,Other,173.09786388474913,69.36015896671634,2013.0
1957,Other,173.09786388474913,69.36015896671634,0.0
1958,Other,173.09786388474913,69.36015896671634,0.0
1959,Other,173.09786388474913,69.36015896671634,0.0
1960,Other,172.7523305969111,68.868025601781,7187.0
1961,Other,172.7523305969111,68.868025601781,0.0
1962,Other,172.7523305969111,68.868025601781,0.0
1963,Other,172.7523305969111,68.868025601781,0.0
1964,Other,173.00039609189332,69.08931872194349,7574.0
1965,Other,173.00039609189332,69.08931872194349,0.0
1966,Other,173.00039609189332,69.08931872194349,0.0
1967,Other,173.00039609189332,69.08931872194349,0.0
1968,Other,173.49094522968198,69.05200971731449,9056.0
1969,Other,173.49094522968198,69.05200971731449,0.0
1970,Other,173.49094522968198,69.05200971731449,0.0
1971,Other,173.49094522968198,69.05200971731449,0.0
1972,Other,174.15804512759877,69.44423095871514,10149.0
1973,Other,174.15804512759877,69.44423095871514,0.0
1974,Other,174.15804512759877,69.44423095871514,0.0
1975,Other,174.15804512759877,69.44423095871514,0.0
1976,Other,174.40930462756742,69.39080673100717,8082.0
1977,Other,174.40930462756742,69.39080673100717,0.0
1978,Other,174.40930462756742,69.39080673100717,0.0
1979,Other,174.40930462756742,69.39080673100717,0.0
1980,Other,175.05984555984557,69.88171963171963,6734.0
1981,Other,175.05984555984557,69.88171963171963,0.0
1982,Other,175.05984555984557,69.88171963171963,0.0
1983,Other,175.05984555984557,69.88171963171963,0.0
1984,Other,175.07263112454135,69.65837470321605,9266.0
1985,Other,175.07263112454135,69.65837470321605,0.0
1986,Other,175.07263112454135,69.65837470321605,0.0
1987,Other,175.07263112454135,69.65837470321605,0.0
1988,Other,175.25751578947367,69.85545263157894,11875.0
1989,Other,175.25751578947367,69.85545263157894,0.0
1990,Other,175.25751578947367,69.85545263157894,0.0
1991,Other,175.25751578947367,69.85545263157894,0.0
1992,Other,175.79048968387497,70.57340830603029,11293.0
1993,Other,175.79048968387497,70.57340830603029,0.0
1994,Other,175.09066868152627,70.88061956932377,2647.0
1995,Other,175.09066868152627,70.88061956932377,0.0
1996,Other,175.4992589665053,70.349767809505,10121.0
1997,Other,175.4992589665053,70.349767809505,0.0
1998,Other,174.51768906199285,70.72671210645895,3081.0
1999,Other,174.51768906199285,70.72671210645895,0.0
2000,Other,175.75695097955344,70.64659081187442,11689.0
2001,Other,175.75695097955344,70.64659081187442,0.0
2002,Other,174.65894501814122,70.97195087915155,3583.0
2003,Other,174.65894501814122,70.97195087915155,0.0
2004,Other,175.58575313624002,70.80226335643478,11399.0
2005,Other,175.58575313624002,70.80226335643478,0.0
2006,Other,174.45897369106538,70.16592862724669,3839.0
2007,Other,174.45897369106538,70.16592862724669,0.0
2008,Other,175.8413228955933,70.8658633125165,11369.0
2009,Other,175.8413228955933,70.8658633125165,0.0
2010,Other,174.8133574941755,70.4611700750712,3863.0
2011,Other,174.8133574941755,70.4611700750712,0.0
2012,Other,176.01517579413706,70.87157130738052,10609.0
2013,Other,176.01517579413706,70.87157130738052,0.0
2014,Other,174.85157202047282,70.55885937119182,4103.0
2015,Other,174.85157202047282,70.55885937119182,0.0
2016,Other,175.6316388135445,70.47046985738035,11429.0
1946,Elite_Olympic,178.84615384615384,74.11282051282052,0.0
1947,Elite_Olympic,178.84615384615384,74.11282051282052,0.0
1948,Elite_Olympic,178.84615384615384,74.11282051282052,195.0
1949,Elite_Olympic,178.84615384615384,74.11282051282052,0.0
1950,Elite_Olympic,178.84615384615384,74.11282051282052,0.0
1951,Elite_Olympic,178.84615384615384,74.11282051282052,0.0
1952,Elite_Olympic,177.43046357615893,74.06291390728477,302.0
1953,Elite_Olympic,177.43046357615893,74.06291390728477,0.0
1954,Elite_Olympic,177.43046357615893,74.06291390728477,0.0
1955,Elite_Olympic,177.43046357615893,74.06291390728477,0.0
1956,Elite_Olympic,175.9678510998308,73.56260575296108,591.0
1957,Elite_Olympic,175.9678510998308,73.56260575296108,0.0
1958,Elite_Olympic,175.9678510998308,73.56260575296108,0.0
1959,Elite_Olympic,175.9678510998308,73.56260575296108,0.0
1960,Elite_Olympic,175.76356192425794,72.58802456499488,977.0
1961,Elite_Olympic,175.76356192425794,72.58802456499488,0.0
1962,Elite_Olympic,175.76356192425794,72.58802456499488,0.0
1963,Elite_Olympic,175.76356192425794,72.58802456499488,0.0
1964,Elite_Olympic,176.35314091680814,73.70161290322581,1178.0
1965,Elite_Olympic,176.35314091680814,73.70161290322581,0.0
1966,Elite_Olympic,176.35314091680814,73.70161290322581,0.0
1967,Elite_Olympic,176.35314091680814,73.70161290322581,0.0
1968,Elite_Olympic,177.2504,73.5504,1250.0
1969,Elite_Olympic,177.2504,73.5504,0.0
1970,Elite_Olympic,177.2504,73.5504,0.0
1971,Elite_Olympic,177.2504,73.5504,0.0
1972,Elite_Olympic,177.55349500713265,74.12945791726105,1402.0
1973,Elite_Olympic,177.55349500713265,74.12945791726105,0.0
1974,Elite_Olympic,177.55349500713265,74.12945791726105,0.0
1975,Elite_Olympic,177.55349500713265,74.12945791726105,0.0
1976,Elite_Olympic,177.79906542056074,74.12116154873164,1498.0
1977,Elite_Olympic,177.79906542056074,74.12116154873164,0.0
1978,Elite_Olympic,177.79906542056074,74.12116154873164,0.0
1979,Elite_Olympic,177.79906542056074,74.12116154873164,0.0
1980,Elite_Olympic,177.7614503816794,74.06774809160305,1572.0
1981,Elite_Olympic,177.7614503816794,74.06774809160305,0.0
1982,Elite_Olympic,177.7614503816794,74.06774809160305,0.0
1983,Elite_Olympic,177.7614503816794,74.06774809160305,0.0
1984,Elite_Olympic,178.03386809269162,73.36155674390969,1683.0
1985,Elite_Olympic,178.03386809269162,73.36155674390969,0.0
1986,Elite_Olympic,178.03386809269162,73.36155674390969,0.0
1987,Elite_Olympic,178.03386809269162,73.36155674390969,0.0
1988,Elite_Olympic,178.8631636562671,74.47591680350301,1827.0
1989,Elite_Olympic,178.8631636562671,74.47591680350301,0.0
1990,Elite_Olympic,178.8631636562671,74.47591680350301,0.0
1991,Elite_Olympic,178.8631636562671,74.47591680350301,0.0
1992,Elite_Olympic,178.3740458015267,74.19193020719739,1834.0
1993,Elite_Olympic,178.3740458015267,74.19193020719739,0.0
1994,Elite_Olympic,175.87962962962962,72.54475308641975,324.0
1995,Elite_Olympic,175.87962962962962,72.54475308641975,0.0
1996,Elite_Olympic,178.19277810133954,73.82003494467094,1717.0
1997,Elite_Olympic,178.19277810133954,73.82003494467094,0.0
1998,Elite_Olympic,175.08924485125857,72.47597254004576,437.0
1999,Elite_Olympic,175.08924485125857,72.47597254004576,0.0
2000,Elite_Olympic,178.03662819869544,73.83768188660311,1993.0
2001,Elite_Olympic,178.03662819869544,73.83768188660311,0.0
2002,Elite_Olympic,175.25157232704402,72.92662473794549,477.0
2003,Elite_Olympic,175.25157232704402,72.92662473794549,0.0
2004,Elite_Olympic,178.147,74.0165,2000.0
2005,Elite_Olympic,178.147,74.0165,0.0
2006,Elite_Olympic,175.88212927756655,73.06178707224335,526.0
2007,Elite_Olympic,175.88212927756655,73.06178707224335,0.0
2008,Elite_Olympic,178.34398034398035,74.31007371007371,2035.0
2009,Elite_Olympic,178.34398034398035,74.31007371007371,0.0
2010,Elite_Olympic,175.70485436893205,72.8388349514563,515.0
2011,Elite_Olympic,175.70485436893205,72.8388349514563,0.0
2012,Elite_Olympic,178.37493472584856,73.86396866840731,1915.0
2013,Elite_Olympic,178.37493472584856,73.86396866840731,0.0
2014,Elite_Olympic,175.56842105263158,72.20877192982456,570.0
2015,Elite_Olympic,175.56842105263158,72.20877192982456,0.0
2016,Elite_Olympic,178.3733862959285,73.96573982125125,2014.0
1946,NBA_Active,212.51333333333332,110.37405333333334,0.0
1947,NBA_Active,212.51333333333332,110.37405333333334,0.0
1948,NBA_Active,212.51333333333332,110.37405333333334,0.0
1949,NBA_Active,212.51333333333332,110.37405333333334,0.0
1950,NBA_Active,212.51333333333332,110.37405333333334,0.0
1951,NBA_Active,212.51333333333332,110.37405333333334,0.0
1952,NBA_Active,212.51333333333332,110.37405333333334,0.0
1953,NBA_Active,212.51333333333332,110.37405333333334,0.0
1954,NBA_Active,212.51333333333332,110.37405333333334,0.0
1955,NBA_Active,212.51333333333332,110.37405333333334,0.0
1956,NBA_Active,212.51333333333332,110.37405333333334,0.0
1957,NBA_Active,212.51333333333332,110.37405333333334,0.0
1958,NBA_Active,212.51333333333332,110.37405333333334,0.0
1959,NBA_Active,212.51333333333332,110.37405333333334,0.0
1960,NBA_Active,212.51333333333332,110.37405333333334,0.0
1961,NBA_Active,212.51333333333332,110.37405333333334,0.0
1962,NBA_Active,212.51333333333332,110.37405333333334,0.0
1963,NBA_Active,212.51333333333332,110.37405333333334,0.0
1964,NBA_Active,212.51333333333332,110.37405333333334,0.0
1965,NBA_Active,212.51333333333332,110.37405333333334,0.0
1966,NBA_Active,212.51333333333332,110.37405333333334,0.0
1967,NBA_Active,212.51333333333332,110.37405333333334,0.0
1968,NBA_Active,212.51333333333332,110.37405333333334,0.0
1969,NBA_Active,212.51333333333332,110.37405333333334,0.0
1970,NBA_Active,212.51333333333332,110.37405333333334,0.0
1971,NBA_Active,212.51333333333332,110.37405333333334,0.0
1972,NBA_Active,212.51333333333332,110.37405333333334,0.0
1973,NBA_Active,212.51333333333332,110.37405333333334,0.0
1974,NBA_Active,212.51333333333332,110.37405333333334,0.0
1975,NBA_Active,212.51333333333332,110.37405333333334,0.0
1976,NBA_Active,212.51333333333332,110.37405333333334,0.0
1977,NBA_Active,212.51333333333332,110.37405333333334,0.0
1978,NBA_Active,212.51333333333332,110.37405333333334,0.0
1979,NBA_Active,212.51333333333332,110.37405333333334,0.0
1980,NBA_Active,212.51333333333332,110.37405333333334,0.0
1981,NBA_Active,212.51333333333332,110.37405333333334,0.0
1982,NBA_Active,212.51333333333332,110.37405333333334,0.0
1983,NBA_Active,212.51333333333332,110.37405333333334,0.0
1984,NBA_Active,212.51333333333332,110.37405333333334,0.0
1985,NBA_Active,212.51333333333332,110.37405333333334,0.0
1986,NBA_Active,212.51333333333332,110.37405333333334,0.0
1987,NBA_Active,212.51333333333332,110.37405333333334,0.0
1988,NBA_Active,212.51333333333332,110.37405333333334,0.0
1989,NBA_Active,212.51333333333332,110.37405333333334,0.0
1990,NBA_Active,212.51333333333332,110.37405333333334,0.0
1991,NBA_Active,212.51333333333332,110.37405333333334,0.0
1992,NBA_Active,212.51333333333332,110.37405333333334,0.0
1993,NBA_Active,212.51333333333332,110.37405333333334,0.0
1994,NBA_Active,212.51333333333332,110.37405333333334,3.0
1995,NBA_Active,205.74,100.697424,2.0
1996,NBA_Active,205.994,108.3631288,11.0
1997,NBA_Active,202.02769230769232,103.48875938461538,13.0
1998,NBA_Active,201.3857142857143,102.2957958095238,21.0
1999,NBA_Active,200.29714285714286,102.77098742857143,23.0
2000,NBA_Active,202.87435897435898,103.5818038974359,41.0
2001,NBA_Active,200.39462686567165,99.9798008358209,67.0
2002,NBA_Active,199.83061224489796,99.36904742857143,99.0
2003,NBA_Active,200.08490566037736,98.6134683018868,107.0
2004,NBA_Active,199.19627118644067,99.125228,122.0
2005,NBA_Active,199.31529411764706,97.77575788235293,141.0
2006,NBA_Active,199.2660975609756,96.87784746341464,168.0
2007,NBA_Active,199.5689932885906,97.61360724832215,151.0
2008,NBA_Active,201.4187012987013,99.05388935064936,158.0
2009,NBA_Active,199.95535483870967,97.4959424,159.0
2010,NBA_Active,198.62534031413614,95.70078751832462,197.0
2011,NBA_Active,199.5217427385892,97.67849633195021,243.0
2012,NBA_Active,198.86926253687312,96.47192684365781,344.0
2013,NBA_Active,197.54894613583136,95.06098570491802,437.0
2014,NBA_Active,197.62126227208975,94.08402715730337,726.0
2015,NBA_Active,195.94486187845305,92.56394616407981,920.0
2016,NBA_Active,200.66,96.01030666666666,18.0
