user_group_id,Username,Bot_Label_Mode,Gender_Mode,Consecutive_Block_Length,Avg_Engagement
1,aaguirre,0,unknown,1,177.0
2,aalexander,-1,unknown,1,159.0
3,aaron00,1,unknown,1,105.0
4,aaron01,-1,unknown,1,25.0
5,aaron20,0,unknown,1,120.0
6,aaron29,-1,unknown,1,70.0
7,aaron43,-1,unknown,1,53.0
8,aaron49,1,unknown,1,85.0
9,aaron81,0,unknown,1,57.0
10,aaron81,0,unknown,1,166.0
11,aaron93,-1,unknown,1,113.0
12,aaron97,-1,unknown,1,138.0
13,aaronchapman,-1,unknown,1,52.0
14,aaronhatfield,-1,unknown,1,96.0
15,aaronhouston,-1,unknown,1,126.0
16,aaronjohnson,1,unknown,1,146.0
17,aaronleon,-1,unknown,1,118.0
18,aaronmoyer,-1,unknown,1,108.0
19,aaronrios,-1,unknown,1,67.0
20,aaronsullivan,-1,unknown,1,116.0
21,abailey,1,unknown,1,79.0
22,abailey,1,unknown,1,87.0
23,abaird,-1,unknown,1,110.0
24,abaker,0,unknown,1,91.0
25,aball,-1,unknown,1,149.0
26,abanks,1,unknown,1,101.0
27,abarnes,-1,unknown,1,86.0
28,abates,-1,unknown,1,98.0
29,abauer,0,unknown,1,16.0
30,abigail52,-1,unknown,1,146.0
31,abigailholt,-1,unknown,1,146.0
32,abradley,0,unknown,1,92.0
33,abrown,1,unknown,1,61.0
34,abrown,1,unknown,1,23.0
35,abutler,0,unknown,1,60.0
36,abutler,0,unknown,1,184.0
37,acarson,-1,unknown,1,81.0
38,acharles,0,unknown,1,54.0
39,achase,-1,unknown,1,113.0
40,aconway,-1,unknown,1,121.0
41,acook,1,unknown,1,52.0
42,acooper,1,unknown,1,68.0
43,acostadawn,-1,unknown,1,82.0
44,acostajesse,-1,unknown,1,197.0
45,acox,0,unknown,1,131.0
46,adam07,0,unknown,1,94.0
47,adam10,-1,unknown,1,83.0
48,adam30,1,unknown,1,151.0
49,adam51,0,unknown,1,102.0
50,adam55,-1,unknown,1,67.0
51,adam82,-1,unknown,1,14.0
52,adamacosta,-1,unknown,1,81.0
53,adamcannon,-1,unknown,1,134.0
54,adamhale,1,unknown,1,143.0
55,adamjones,-1,unknown,1,67.0
56,adamkelly,-1,unknown,1,152.0
57,adamlester,-1,unknown,1,97.0
58,adamlynch,1,unknown,1,140.0
59,adammerritt,-1,unknown,1,116.0
60,adampatton,-1,unknown,1,80.0
61,adamrose,-1,unknown,1,135.0
62,adamschristopher,-1,unknown,1,190.0
63,adamsclaire,-1,unknown,1,91.0
64,adamseric,-1,unknown,1,76.0
65,adamsjessica,-1,unknown,1,190.0
66,adamsjohn,-1,unknown,1,91.0
67,adamsjoseph,-1,unknown,1,124.0
68,adamslauren,-1,unknown,1,83.0
69,adamsleon,-1,unknown,1,23.0
70,adamspamela,-1,unknown,1,17.0
71,adamwilson,-1,unknown,1,62.0
72,adavis,0,unknown,1,82.0
73,adelgado,0,unknown,1,149.0
74,adrian00,-1,unknown,1,31.0
75,adrian13,-1,unknown,1,72.0
76,adrian61,-1,unknown,1,8.0
77,adriennejackson,-1,unknown,1,72.0
78,aedwards,-1,unknown,1,137.0
79,aedwards,-1,unknown,1,66.0
80,aestrada,1,unknown,1,22.0
81,afischer,-1,unknown,1,85.0
82,afisher,-1,unknown,1,64.0
83,afisher,-1,unknown,1,31.0
84,aford,1,unknown,1,16.0
85,afox,-1,unknown,1,118.0
86,agamble,-1,unknown,1,147.0
87,agarcia,1,unknown,1,92.0
88,aglover,-1,unknown,1,118.0
89,agonzalez,1,unknown,1,118.0
90,agordon,-1,unknown,1,82.0
91,agreene,-1,unknown,1,168.0
92,aguilarcharles,-1,unknown,1,144.0
93,aguilarhenry,-1,unknown,1,48.0
94,aguilarjennifer,-1,unknown,1,126.0
95,ahayes,0,unknown,1,73.0
96,ahenderson,-1,unknown,1,163.0
97,ahernandez,0,unknown,1,134.0
98,ahicks,-1,unknown,1,113.0
99,ahowell,-1,unknown,1,142.0
100,ahunter,0,unknown,1,41.0
101,ahunter,0,unknown,1,71.0
102,aimee63,-1,unknown,1,35.0
103,ajohnson,1,unknown,1,117.0
104,ajohnson,1,unknown,1,124.0
105,ajones,1,unknown,1,79.0
106,akerr,-1,unknown,1,75.0
107,akerr,-1,unknown,1,66.0
108,alamb,1,unknown,1,15.0
109,alan53,-1,unknown,1,140.0
110,alan55,-1,unknown,1,81.0
111,alan69,-1,unknown,1,133.0
112,alan74,-1,unknown,1,162.0
113,alan85,-1,unknown,1,95.0
114,alandry,0,unknown,1,153.0
115,alanmoore,-1,unknown,1,46.0
116,alantucker,-1,unknown,1,97.0
117,alanwilkins,-1,unknown,1,88.0
118,alawrence,-1,unknown,1,111.0
119,alawrence,-1,unknown,1,26.0
120,albert24,-1,unknown,1,55.0
121,albert77,-1,unknown,1,140.0
