scene_col,monitor_col,count,missing,missing_per,special_per,unique,psi,bin_point_rate,dt_col
SCENE_000001,cro_general,2999992,0,0.0,0.0,2982087,0.0,"{ [-inf, 0.12203) : 0.1, [0.12203, 0.14493) : 0.1, [0.14493, 0.16094) : 0.1, [0.16094, 0.17436) : 0.1, [0.17436, 0.18697) : 0.1, [0.18697, 0.19987) : 0.1, [0.19987, 0.21444) : 0.1, [0.21444, 0.23332) : 0.1, [0.23332, 0.26498) : 0.1, [0.26498, inf) : 0.1, Missing : 0.0 }",197001
SCENE_000001,cro_general_mle,2999992,0,0.0,0.0,2983326,0.0,"{ [-inf, 0.10563) : 0.1, [0.10563, 0.13144) : 0.1, [0.13144, 0.14984) : 0.1, [0.14984, 0.16533) : 0.1, [0.16533, 0.17976) : 0.1, [0.17976, 0.19448) : 0.1, [0.19448, 0.21095) : 0.1, [0.21095, 0.23195) : 0.1, [0.23195, 0.26674) : 0.1, [0.26674, inf) : 0.1, Missing : 0.0 }",197001
SCENE_000001,cro_general_reg,2999992,0,0.0,0.0,2984509,0.0,"{ [-inf, 0.14879) : 0.1, [0.14879, 0.18707) : 0.1, [0.18707, 0.21300) : 0.1, [0.21300, 0.23435) : 0.1, [0.23435, 0.25395) : 0.1, [0.25395, 0.27353) : 0.1, [0.27353, 0.29498) : 0.1, [0.29498, 0.32148) : 0.1, [0.32148, 0.36216) : 0.1, [0.36216, inf) : 0.1, Missing : 0.0 }",197001
SCENE_000001,cro_sceneid,2999992,0,0.0,0.0,2982060,0.0,"{ [-inf, 0.13570) : 0.1, [0.13570, 0.15619) : 0.1, [0.15619, 0.17044) : 0.1, [0.17044, 0.18210) : 0.1, [0.18210, 0.19265) : 0.1, [0.19265, 0.20301) : 0.1, [0.20301, 0.21420) : 0.1, [0.21420, 0.22795) : 0.1, [0.22795, 0.25007) : 0.1, [0.25007, inf) : 0.1, Missing : 0.0 }",197001
SCENE_000002,cro_general,1176079,0,0.0,0.0,1168671,0.0,"{ [-inf, 0.13638) : 0.1, [0.13638, 0.15643) : 0.1, [0.15643, 0.17072) : 0.1, [0.17072, 0.18289) : 0.1, [0.18289, 0.19440) : 0.1, [0.19440, 0.20621) : 0.1, [0.20621, 0.21971) : 0.1, [0.21971, 0.23708) : 0.1, [0.23708, 0.26634) : 0.1, [0.26634, inf) : 0.1, Missing : 0.0 }",197001
SCENE_000002,cro_general_mle,1176079,0,0.0,0.0,1168957,0.0,"{ [-inf, 0.12172) : 0.1, [0.12172, 0.14454) : 0.1, [0.14454, 0.16098) : 0.1, [0.16098, 0.17496) : 0.1, [0.17496, 0.18819) : 0.1, [0.18819, 0.20180) : 0.1, [0.20180, 0.21716) : 0.1, [0.21716, 0.23688) : 0.1, [0.23688, 0.26953) : 0.1, [0.26953, inf) : 0.1, Missing : 0.0 }",197001
SCENE_000002,cro_general_reg,1176079,0,0.0,0.0,1169115,0.0,"{ [-inf, 0.17452) : 0.1, [0.17452, 0.20727) : 0.1, [0.20727, 0.22992) : 0.1, [0.22992, 0.24871) : 0.1, [0.24871, 0.26620) : 0.1, [0.26620, 0.28383) : 0.1, [0.28383, 0.30308) : 0.1, [0.30308, 0.32678) : 0.1, [0.32678, 0.36206) : 0.1, [0.36206, inf) : 0.1, Missing : 0.0 }",197001
SCENE_000002,cro_sceneid,1176079,0,0.0,0.0,1168632,0.0,"{ [-inf, 0.15720) : 0.1, [0.15720, 0.17354) : 0.1, [0.17354, 0.18464) : 0.1, [0.18464, 0.19386) : 0.1, [0.19386, 0.20234) : 0.1, [0.20234, 0.21080) : 0.1, [0.21080, 0.22012) : 0.1, [0.22012, 0.23167) : 0.1, [0.23167, 0.25036) : 0.1, [0.25036, inf) : 0.1, Missing : 0.0 }",197001
SCENE_000003,cro_general,897863,0,0.0,0.0,896046,0.0,"{ [-inf, 0.12135) : 0.1, [0.12135, 0.14224) : 0.1, [0.14224, 0.15687) : 0.1, [0.15687, 0.16906) : 0.1, [0.16906, 0.18033) : 0.1, [0.18033, 0.19176) : 0.1, [0.19176, 0.20422) : 0.1, [0.20422, 0.21970) : 0.1, [0.21970, 0.24429) : 0.1, [0.24429, inf) : 0.1, Missing : 0.0 }",197001
SCENE_000003,cro_general_mle,897863,0,0.0,0.0,896068,0.0,"{ [-inf, 0.10461) : 0.1, [0.10461, 0.12828) : 0.1, [0.12828, 0.14526) : 0.1, [0.14526, 0.15952) : 0.1, [0.15952, 0.17266) : 0.1, [0.17266, 0.18588) : 0.1, [0.18588, 0.20032) : 0.1, [0.20032, 0.21821) : 0.1, [0.21821, 0.24619) : 0.1, [0.24619, inf) : 0.1, Missing : 0.0 }",197001
SCENE_000003,cro_general_reg,897863,0,0.0,0.0,896096,0.0,"{ [-inf, 0.14750) : 0.1, [0.14750, 0.18246) : 0.1, [0.18246, 0.20625) : 0.1, [0.20625, 0.22556) : 0.1, [0.22556, 0.24311) : 0.1, [0.24311, 0.26048) : 0.1, [0.26048, 0.27908) : 0.1, [0.27908, 0.30114) : 0.1, [0.30114, 0.33385) : 0.1, [0.33385, inf) : 0.1, Missing : 0.0 }",197001
SCENE_000003,cro_sceneid,897863,0,0.0,0.0,896033,0.0,"{ [-inf, 0.13572) : 0.1, [0.13572, 0.15402) : 0.1, [0.15402, 0.16665) : 0.1, [0.16665, 0.17702) : 0.1, [0.17702, 0.18640) : 0.1, [0.18640, 0.19545) : 0.1, [0.19545, 0.20506) : 0.1, [0.20506, 0.21651) : 0.1, [0.21651, 0.23365) : 0.1, [0.23365, inf) : 0.1, Missing : 0.0 }",197001
SCENE_000004,cro_general,355086,0,0.0,0.0,348316,0.0,"{ [-inf, 0.11843) : 0.1, [0.11843, 0.14037) : 0.1, [0.14037, 0.15690) : 0.1, [0.15690, 0.17113) : 0.1, [0.17113, 0.18473) : 0.1, [0.18473, 0.19859) : 0.1, [0.19859, 0.21474) : 0.1, [0.21474, 0.23627) : 0.1, [0.23627, 0.27409) : 0.1, [0.27409, inf) : 0.1, Missing : 0.0 }",197001
SCENE_000004,cro_general_mle,355086,0,0.0,0.0,348564,0.0,"{ [-inf, 0.10159) : 0.1, [0.10159, 0.12559) : 0.1, [0.12559, 0.14398) : 0.1, [0.14398, 0.16009) : 0.1, [0.16009, 0.17537) : 0.1, [0.17537, 0.19132) : 0.1, [0.19132, 0.20943) : 0.1, [0.20943, 0.23323) : 0.1, [0.23323, 0.27462) : 0.1, [0.27462, inf) : 0.1, Missing : 0.0 }",197001
