scene_col,monitor_col,count,missing,missing_per,special_per,unique,psi,bin_point_rate,dt_col
SCENE_000001,cro_general,139176,0,0.0,0.0,138754,0.035755380085455146,"{ [-inf, 0.17768) : 0.40602, [0.17768, inf) : 0.59398, Missing : 0.0 }",202405
SCENE_000001,cro_general,162060,0,0.0,0.0,161580,0.00949680810608264,"{ [-inf, 0.17768) : 0.45135, [0.17768, inf) : 0.54865, Missing : 0.0 }",202406
SCENE_000001,cro_general,192098,0,0.0,0.0,191443,0.010476703640726403,"{ [-inf, 0.17768) : 0.44891, [0.17768, inf) : 0.55109, Missing : 0.0 }",202407
SCENE_000001,cro_general,218384,0,0.0,0.0,217504,0.00830485755361813,"{ [-inf, 0.17768) : 0.4545, [0.17768, inf) : 0.5455, Missing : 0.0 }",202408
SCENE_000001,cro_general,254885,0,0.0,0.0,253747,0.033625736429853455,"{ [-inf, 0.17768) : 0.40883, [0.17768, inf) : 0.59117, Missing : 0.0 }",202409
SCENE_000001,cro_general,255600,0,0.0,0.0,254391,0.03396024647833922,"{ [-inf, 0.17768) : 0.40838, [0.17768, inf) : 0.59162, Missing : 0.0 }",202410
SCENE_000001,cro_general,286737,0,0.0,0.0,285488,0.03269061606308318,"{ [-inf, 0.17768) : 0.41009, [0.17768, inf) : 0.58991, Missing : 0.0 }",202411
SCENE_000001,cro_general,294789,0,0.0,0.0,293501,0.027969687704056445,"{ [-inf, 0.17768) : 0.41677, [0.17768, inf) : 0.58323, Missing : 0.0 }",202412
SCENE_000001,cro_general,296265,0,0.0,0.0,294850,0.04010653748908467,"{ [-inf, 0.17768) : 0.40054, [0.17768, inf) : 0.59946, Missing : 0.0 }",202501
SCENE_000001,cro_general,169427,0,0.0,0.0,168623,0.04155646292159892,"{ [-inf, 0.17768) : 0.39878, [0.17768, inf) : 0.60122, Missing : 0.0 }",202502
SCENE_000001,cro_general,172175,0,0.0,0.0,171304,0.029549509322164,"{ [-inf, 0.17768) : 0.41447, [0.17768, inf) : 0.58553, Missing : 0.0 }",202503
SCENE_000001,cro_general,152867,0,0.0,0.0,152048,0.02043302388616365,"{ [-inf, 0.17768) : 0.42877, [0.17768, inf) : 0.57123, Missing : 0.0 }",202504
SCENE_000001,cro_general,137138,0,0.0,0.0,136335,0.01405824706334389,"{ [-inf, 0.17768) : 0.44086, [0.17768, inf) : 0.55914, Missing : 0.0 }",202505
SCENE_000001,cro_general,138231,0,0.0,0.0,137327,0.0030123638555996785,"{ [-inf, 0.17768) : 0.47257, [0.17768, inf) : 0.52743, Missing : 0.0 }",202506
SCENE_000001,cro_general,130160,0,0.0,0.0,129374,0.0,"{ [-inf, 0.17768) : 0.5, [0.17768, inf) : 0.5, Missing : 0.0 }",202507
SCENE_000001,cro_general_mle,139176,0,0.0,0.0,138769,0.02378693032373571,"{ [-inf, 0.16931) : 0.42319, [0.16931, inf) : 0.57681, Missing : 0.0 }",202405
SCENE_000001,cro_general_mle,162060,0,0.0,0.0,161596,0.008440659433908253,"{ [-inf, 0.16931) : 0.45413, [0.16931, inf) : 0.54587, Missing : 0.0 }",202406
SCENE_000001,cro_general_mle,192098,0,0.0,0.0,191472,0.011925323210758267,"{ [-inf, 0.16931) : 0.44551, [0.16931, inf) : 0.55449, Missing : 0.0 }",202407
SCENE_000001,cro_general_mle,218384,0,0.0,0.0,217540,0.01135410094444107,"{ [-inf, 0.16931) : 0.44682, [0.16931, inf) : 0.55318, Missing : 0.0 }",202408
SCENE_000001,cro_general_mle,254885,0,0.0,0.0,253805,0.03628608233433646,"{ [-inf, 0.16931) : 0.40533, [0.16931, inf) : 0.59467, Missing : 0.0 }",202409
SCENE_000001,cro_general_mle,255600,0,0.0,0.0,254446,0.035795381727084234,"{ [-inf, 0.16931) : 0.40597, [0.16931, inf) : 0.59403, Missing : 0.0 }",202410
SCENE_000001,cro_general_mle,286737,0,0.0,0.0,285554,0.032027435450703245,"{ [-inf, 0.16931) : 0.411, [0.16931, inf) : 0.589, Missing : 0.0 }",202411
SCENE_000001,cro_general_mle,294789,0,0.0,0.0,293570,0.02660853512389852,"{ [-inf, 0.16931) : 0.4188, [0.16931, inf) : 0.5812, Missing : 0.0 }",202412
SCENE_000001,cro_general_mle,296265,0,0.0,0.0,294935,0.03800310032446592,"{ [-inf, 0.16931) : 0.40315, [0.16931, inf) : 0.59685, Missing : 0.0 }",202501
SCENE_000001,cro_general_mle,169427,0,0.0,0.0,168671,0.03721352318310518,"{ [-inf, 0.16931) : 0.40414, [0.16931, inf) : 0.59586, Missing : 0.0 }",202502
SCENE_000001,cro_general_mle,172175,0,0.0,0.0,171347,0.025005987034867415,"{ [-inf, 0.16931) : 0.42126, [0.16931, inf) : 0.57874, Missing : 0.0 }",202503
SCENE_000001,cro_general_mle,152867,0,0.0,0.0,152095,0.018358326145511583,"{ [-inf, 0.16931) : 0.43246, [0.16931, inf) : 0.56754, Missing : 0.0 }",202504
SCENE_000001,cro_general_mle,137138,0,0.0,0.0,136372,0.012574694041185526,"{ [-inf, 0.16931) : 0.44405, [0.16931, inf) : 0.55595, Missing : 0.0 }",202505
SCENE_000001,cro_general_mle,138231,0,0.0,0.0,137366,0.003199708525761542,"{ [-inf, 0.16931) : 0.47173, [0.16931, inf) : 0.52827, Missing : 0.0 }",202506
SCENE_000001,cro_general_mle,130160,0,0.0,0.0,129405,0.0,"{ [-inf, 0.16931) : 0.5, [0.16931, inf) : 0.5, Missing : 0.0 }",202507
SCENE_000001,cro_general_reg,139176,0,0.0,0.0,138793,0.021619330152698745,"{ [-inf, 0.24272) : 0.42675, [0.24272, inf) : 0.57325, Missing : 0.0 }",202405
SCENE_000001,cro_general_reg,162060,0,0.0,0.0,161629,0.002826608641397416,"{ [-inf, 0.24272) : 0.47343, [0.24272, inf) : 0.52657, Missing : 0.0 }",202406
SCENE_000001,cro_general_reg,192098,0,0.0,0.0,191515,0.002611244315277351,"{ [-inf, 0.24272) : 0.47446, [0.24272, inf) : 0.52554, Missing : 0.0 }",202407
SCENE_000001,cro_general_reg,218384,0,0.0,0.0,217588,0.0023935773209781425,"{ [-inf, 0.24272) : 0.47555, [0.24272, inf) : 0.52445, Missing : 0.0 }",202408
SCENE_000001,cro_general_reg,254885,0,0.0,0.0,253889,0.0196640718548046,"{ [-inf, 0.24272) : 0.43012, [0.24272, inf) : 0.56988, Missing : 0.0 }",202409
SCENE_000001,cro_general_reg,255600,0,0.0,0.0,254513,0.020832718333430016,"{ [-inf, 0.24272) : 0.42808, [0.24272, inf) : 0.57192, Missing : 0.0 }",202410
SCENE_000001,cro_general_reg,286737,0,0.0,0.0,285637,0.021334714738577037,"{ [-inf, 0.24272) : 0.42723, [0.24272, inf) : 0.57277, Missing : 0.0 }",202411
SCENE_000001,cro_general_reg,294789,0,0.0,0.0,293696,0.018095277073280992,"{ [-inf, 0.24272) : 0.43294, [0.24272, inf) : 0.56706, Missing : 0.0 }",202412
SCENE_000001,cro_general_reg,296265,0,0.0,0.0,295038,0.030944257388113704,"{ [-inf, 0.24272) : 0.4125, [0.24272, inf) : 0.5875, Missing : 0.0 }",202501
SCENE_000001,cro_general_reg,169427,0,0.0,0.0,168737,0.031271897421269026,"{ [-inf, 0.24272) : 0.41204, [0.24272, inf) : 0.58796, Missing : 0.0 }",202502
SCENE_000001,cro_general_reg,172175,0,0.0,0.0,171438,0.020081341168238617,"{ [-inf, 0.24272) : 0.42938, [0.24272, inf) : 0.57062, Missing : 0.0 }",202503
SCENE_000001,cro_general_reg,152867,0,0.0,0.0,152178,0.014758035300855742,"{ [-inf, 0.24272) : 0.43941, [0.24272, inf) : 0.56059, Missing : 0.0 }",202504
SCENE_000001,cro_general_reg,137138,0,0.0,0.0,136436,0.009512298645961374,"{ [-inf, 0.24272) : 0.45131, [0.24272, inf) : 0.54869, Missing : 0.0 }",202505
