hour_bin,pt_quintile,rolling_avg_pickups
2024-01-01 00:00:00,0,1483.0
2024-01-01 00:00:00,1,1833.0
2024-01-01 00:00:00,2,2270.0
2024-01-01 00:00:00,3,806.0
2024-01-01 00:00:00,4,181.0
2024-01-01 01:00:00,0,1552.0
2024-01-01 01:00:00,1,1906.5
2024-01-01 01:00:00,2,2270.0
2024-01-01 01:00:00,3,974.5
2024-01-01 01:00:00,4,249.5
2024-01-01 02:00:00,0,1495.6666666666667
2024-01-01 02:00:00,1,1881.6666666666667
2024-01-01 02:00:00,2,2155.6666666666665
2024-01-01 02:00:00,3,933.3333333333334
2024-01-01 02:00:00,4,229.66666666666666
2024-01-01 03:00:00,0,1304.25
2024-01-01 03:00:00,1,1880.75
2024-01-01 03:00:00,2,2030.5
2024-01-01 03:00:00,3,822.5
2024-01-01 03:00:00,4,209.75
2024-01-01 04:00:00,0,1136.2
2024-01-01 04:00:00,1,1749.2
2024-01-01 04:00:00,2,1821.6
2024-01-01 04:00:00,3,726.8
2024-01-01 04:00:00,4,197.2
2024-01-01 05:00:00,0,979.3333333333334
2024-01-01 05:00:00,1,1554.3333333333333
2024-01-01 05:00:00,2,1579.8333333333333
2024-01-01 05:00:00,3,639.3333333333334
2024-01-01 05:00:00,4,191.5
2024-01-01 06:00:00,0,871.7142857142857
2024-01-01 06:00:00,1,1421.857142857143
2024-01-01 06:00:00,2,1394.857142857143
2024-01-01 06:00:00,3,581.0
2024-01-01 06:00:00,4,185.85714285714286
2024-01-01 07:00:00,0,790.875
2024-01-01 07:00:00,1,1313.0
2024-01-01 07:00:00,2,1250.875
2024-01-01 07:00:00,3,533.25
2024-01-01 07:00:00,4,182.0
2024-01-01 08:00:00,0,726.1111111111111
2024-01-01 08:00:00,1,1221.111111111111
2024-01-01 08:00:00,2,1141.7777777777778
2024-01-01 08:00:00,3,490.6666666666667
2024-01-01 08:00:00,4,170.44444444444446
2024-01-01 09:00:00,0,683.3
2024-01-01 09:00:00,1,1151.1
2024-01-01 09:00:00,2,1067.0
2024-01-01 09:00:00,3,456.1
2024-01-01 09:00:00,4,159.9
2024-01-01 10:00:00,0,668.1818181818181
2024-01-01 10:00:00,1,1120.1818181818182
2024-01-01 10:00:00,2,1025.7272727272727
2024-01-01 10:00:00,3,434.3636363636364
2024-01-01 10:00:00,4,153.72727272727272
2024-01-01 11:00:00,0,675.5833333333334
2024-01-01 11:00:00,1,1112.3333333333333
2024-01-01 11:00:00,2,1003.9166666666666
2024-01-01 11:00:00,3,422.25
2024-01-01 11:00:00,4,151.25
2024-01-01 12:00:00,0,701.1538461538462
2024-01-01 12:00:00,1,1124.8461538461538
2024-01-01 12:00:00,2,1002.3076923076923
2024-01-01 12:00:00,3,418.38461538461536
2024-01-01 12:00:00,4,147.07692307692307
2024-01-01 13:00:00,0,719.4285714285714
2024-01-01 13:00:00,1,1141.4285714285713
2024-01-01 13:00:00,2,999.0
2024-01-01 13:00:00,3,414.2142857142857
2024-01-01 13:00:00,4,143.21428571428572
2024-01-01 14:00:00,0,742.3333333333334
2024-01-01 14:00:00,1,1162.4
2024-01-01 14:00:00,2,1013.9333333333333
2024-01-01 14:00:00,3,414.6666666666667
2024-01-01 14:00:00,4,142.0
2024-01-01 15:00:00,0,759.125
2024-01-01 15:00:00,1,1195.375
2024-01-01 15:00:00,2,1034.6875
2024-01-01 15:00:00,3,416.0
2024-01-01 15:00:00,4,142.0625
2024-01-01 16:00:00,0,772.9411764705883
2024-01-01 16:00:00,1,1216.4705882352941
2024-01-01 16:00:00,2,1048.4117647058824
2024-01-01 16:00:00,3,411.0
2024-01-01 16:00:00,4,139.41176470588235
2024-01-01 17:00:00,0,776.9444444444445
2024-01-01 17:00:00,1,1231.388888888889
2024-01-01 17:00:00,2,1049.888888888889
2024-01-01 17:00:00,3,404.8333333333333
2024-01-01 17:00:00,4,136.55555555555554
2024-01-01 18:00:00,0,783.2105263157895
2024-01-01 18:00:00,1,1242.4736842105262
2024-01-01 18:00:00,2,1047.157894736842
2024-01-01 18:00:00,3,398.2631578947368
2024-01-01 18:00:00,4,133.21052631578948
2024-01-01 19:00:00,0,779.85
2024-01-01 19:00:00,1,1251.2
2024-01-01 19:00:00,2,1036.7
2024-01-01 19:00:00,3,388.65
2024-01-01 19:00:00,4,129.65
2024-01-01 20:00:00,0,771.0952380952381
2024-01-01 20:00:00,1,1246.095238095238
2024-01-01 20:00:00,2,1025.4761904761904
2024-01-01 20:00:00,3,378.6666666666667
2024-01-01 20:00:00,4,126.9047619047619
2024-01-01 21:00:00,0,757.8636363636364
2024-01-01 21:00:00,1,1241.4545454545455
2024-01-01 21:00:00,2,1007.1818181818181
2024-01-01 21:00:00,3,368.90909090909093
2024-01-01 21:00:00,4,122.9090909090909
2024-01-01 22:00:00,0,740.0869565217391
2024-01-01 22:00:00,1,1233.7391304347825
2024-01-01 22:00:00,2,989.1739130434783
2024-01-01 22:00:00,3,357.4782608695652
2024-01-01 22:00:00,4,120.08695652173913
2024-01-01 23:00:00,0,717.25
2024-01-01 23:00:00,1,1216.7916666666667
2024-01-01 23:00:00,2,962.4583333333334
2024-01-01 23:00:00,3,345.0416666666667
2024-01-01 23:00:00,4,116.75
2024-01-02 00:00:00,0,693.8
