entity_id,title,type,release_year,cross_media_popularity_score,normalized_popularity,temporal_proximity,genre_compatibility
movie_862,Toy Story,movie,1995.0,0.1306876435729064,0.15570654147706714,1906,0.0
movie_8844,Jumanji,movie,1995.0,0.11319421110741226,0.12071967654607885,1906,0.0
movie_15602,Grumpier Old Men,movie,1995.0,0.09438387692359859,0.0830990081784515,1906,0.0
movie_31357,Waiting to Exhale,movie,1995.0,0.06652507444226183,0.027381403215777967,1906,0.0
movie_11862,Father of the Bride Part II,movie,1995.0,0.08258757551622305,0.059506405363700415,1906,0.0
movie_949,Heat,movie,1995.0,0.11642013166937205,0.12717151766999843,1906,0.0
movie_11860,Sabrina,movie,1995.0,0.07652074284004165,0.04737274001133763,1906,0.0
movie_45325,Tom and Huck,movie,1995.0,0.06191942498692316,0.01817010430510065,1906,0.0
movie_9091,Sudden Death,movie,1995.0,0.07139234475400622,0.03711594383926676,1906,0.0
movie_710,GoldenEye,movie,1995.0,0.10493064085263978,0.10419253603653388,1906,0.0
movie_9087,The American President,movie,1995.0,0.0752478389452364,0.04482693222172712,1906,0.0
movie_12110,Dracula: Dead and Loving It,movie,1995.0,0.07209738477829736,0.03852602388784904,1906,0.0
movie_21032,Balto,movie,1995.0,0.09590155174642995,0.0861343578241142,1906,0.0
movie_10858,Nixon,movie,1995.0,0.07089720517437866,0.03612566468001163,1906,0.0
movie_1408,Cutthroat Island,movie,1995.0,0.07867469578996181,0.051680645911177936,1906,0.0
movie_524,Casino,movie,1995.0,0.08879498271068414,0.07192121975262263,1906,0.0
movie_4584,Sense and Sensibility,movie,1995.0,0.09069557659013461,0.07572240751152354,1906,0.0
movie_5,Four Rooms,movie,1995.0,0.08485457197512725,0.0640403982815088,1906,0.0
movie_9273,Ace Ventura: When Nature Calls,movie,1995.0,0.08194170534569453,0.0582146650226434,1906,0.0
movie_11517,Money Train,movie,1995.0,0.0788642273317294,0.05205970899471313,1906,0.0
movie_8012,Get Shorty,movie,1995.0,0.0977776582457531,0.08988657082276051,1906,0.0
movie_1710,Copycat,movie,1995.0,0.09079715150576045,0.07592555734277523,1906,0.0
movie_9691,Assassins,movie,1995.0,0.09208887765740412,0.07850900964606254,1906,0.0
movie_12665,Powder,movie,1995.0,0.09587445351424212,0.08608016135973856,1906,0.0
movie_451,Leaving Las Vegas,movie,1995.0,0.0894854253759685,0.07330210508319132,1906,0.0
movie_16420,Othello,movie,1995.0,0.05938213794004275,0.013095530211339818,1906,0.0
movie_9263,Now and Then,movie,1995.0,0.08362980921254097,0.061590872756336255,1906,0.0
movie_17015,Persuasion,movie,1995.0,0.0607391247511391,0.015809503833532527,1906,0.0
movie_902,The City of Lost Children,movie,1995.0,0.0876776870176266,0.0696866283665075,1906,0.0
movie_37557,Shanghai Triad,movie,1995.0,0.056739416457099213,0.007810087245452744,1906,0.0
movie_9909,Dangerous Minds,movie,1995.0,0.08646773800260103,0.06726673033645639,1906,0.0
movie_63,Twelve Monkeys,movie,1995.0,0.09645696795406317,0.08724519023938065,1906,0.0
movie_78802,Wings of Courage,movie,1996.0,0.06132770870643353,0.005288820046269691,2117,0.0
movie_9598,Babe,movie,1995.0,0.10393286968312407,0.10219699369750246,1906,0.0
movie_47018,Carrington,movie,1995.0,0.05813156108717886,0.010594376505612046,1906,0.0
movie_687,Dead Man Walking,movie,1995.0,0.07728001834959519,0.048891291030444706,1906,0.0
movie_139405,Across the Sea of Time,movie,1995.0,0.053240143941228106,0.0008115422137105291,1906,0.0
movie_33689,It Takes Two,movie,1995.0,0.08042445620526437,0.055180166741783054,1906,0.0
movie_9603,Clueless,movie,1995.0,0.08789038632407786,0.07011202697941005,1906,0.0
movie_34615,"Cry, the Beloved Country",movie,1995.0,0.056007710977728116,0.006346676286710549,1906,0.0
movie_31174,Richard III,movie,1995.0,0.06901493337494521,0.03236112108114476,1906,0.0
movie_11443,Dead Presidents,movie,1995.0,0.08788040761912377,0.07009206956950186,1906,0.0
movie_35196,Restoration,movie,1995.0,0.09178142854315909,0.07789411141757249,1906,0.0
movie_9312,Mortal Kombat,movie,1995.0,0.09139430232547507,0.07711985898220446,1906,0.0
movie_577,To Die For,movie,1995.0,0.0898985359568906,0.07412832624503553,1906,0.0
movie_11861,How To Make An American Quilt,movie,1995.0,0.0687473600596298,0.031825974450513904,1906,0.0
movie_807,Se7en,movie,1995.0,0.1183091079666239,0.13094947026450213,1906,0.0
movie_10530,Pocahontas,movie,1995.0,0.09994317911492503,0.0942176125611044,1906,0.0
movie_8391,When Night Is Falling,movie,1995.0,0.0645493015034114,0.023429857338077117,1906,0.0
movie_629,The Usual Suspects,movie,1995.0,0.11066468921699985,0.11566063276525401,1906,0.0
movie_117164,Guardian Angel,movie,1994.0,0.04793495661568882,0.004227501588965983,1653,0.0
movie_11448,Mighty Aphrodite,movie,1995.0,0.10923392809842739,0.1127991105281091,1906,0.0
