example_id,score
5,0.13739985827402043
43,0.2795853788967043
65,0.2349224468965456
82,0.33958150617036237
92,0.40960075350216946
115,0.294241459985573
127,0.12020894073925979
146,0.11582674817519048
176,0.23070378045920562
178,0.3198549985923204
185,0.18116945991264938
198,0.11096665395342646
202,0.26518268651756866
224,0.1689734730281045
258,0.22723560641653692
259,0.3039684710849624
263,0.2563664831450084
264,0.3854625960475119
266,0.11894500090975658
275,0.16199600244021178
290,0.13772275668775102
313,0.114612753329808
324,0.27615804870524063
328,0.09657582670139118
367,0.16931001208155513
369,0.1318507894662597
392,0.11685799248783471
411,0.16001090721867078
420,0.13415469615115608
440,0.15864594444977767
457,0.14921189119833916
471,0.1919821168772808
473,0.20759658199281417
476,0.2589522483010394
494,0.15562356365425245
504,0.12151427877700881
505,0.29972283185003673
529,0.1835905342141627
538,0.2346809604772547
539,0.3519713386090623
555,0.23559497354603534
586,0.10128863702811132
635,0.25131454543588805
655,0.5546316422482938
666,0.12649762190354685
676,0.1331512902519101
691,0.2121118287888909
693,0.10737789401558903
704,0.2492197875357268
714,0.09053921070604547
745,0.17163529176597014
763,0.15009422500623643
837,0.11584672668086851
868,0.12940058344749356
876,0.16132653795743315
877,0.24093578087230416
937,0.17576305232688674
939,0.20792162453378057
943,0.14849657464473887
979,0.23167931839180395
980,0.10406232363700363
992,0.14721712813305157
998,0.13952615076782737
1001,0.20844650162536918
1016,0.16259481725205344
1034,0.19531060939258366
1053,0.1676876105050654
1183,0.12471516288742764
1209,0.12877576774076738
1217,0.18467303238000396
1228,0.21086496283447045
1253,0.19550105547022983
1256,0.24771460375904805
1275,0.09786118633227074
1277,0.11627242363181031
1290,0.2547484464612024
1329,0.2024744987273314
1350,0.20439909193270656
1377,0.16666428963191404
1394,0.0723559572793798
1399,0.12948892672552223
1410,0.17223380166245428
1424,0.15718583880605783
1432,0.3148919930876227
1433,0.2470627246927145
1442,0.12794654778169093
1456,0.12678672540747934
1478,0.11047810963584509
1482,0.22716032132673047
1484,0.07110048932030545
1488,0.21909880042357469
1560,0.15038412497650808
1566,0.1505711734027825
1575,0.3069443027588878
1580,0.14720208298910342
1584,0.16031411259053208
1590,0.1974544952106212
1600,0.24036742062314412
1619,0.1955010627663634
1634,0.3144574218643585
1642,0.1298963001776368
1653,0.20192960436394183
1655,0.1791263717022039
1673,0.2214069809838263
1680,0.22616277471251026
1717,0.24295399186027947
1742,0.15523621761361042
1756,0.21439621307000134
1772,0.07113397536296595
1775,0.23649215183593353
1791,0.12673568747904257
1798,0.15654124474776382
1805,0.14179446392453215
1809,0.1774080155505348
1813,0.173353757283478
1840,0.2547739498890157
1915,0.1831983468217026
1919,0.35210516326917596
