metric,value
Olympic_Height_Mean,181.59701242027526
Olympic_Height_Std,10.793710412031652
Olympic_Weight_Mean,77.65189660960054
Olympic_Weight_Std,12.645659863126866
NBA_Height_Mean,197.82692307692307
NBA_Height_Std,9.505837458132406
NBA_Weight_Mean,215.2403846153846
NBA_Weight_Std,25.485764232045536
Soccer_Height_Mean,191.03537517053206
Soccer_Height_Std,3.1336800209155915
Soccer_Weight_Mean,191.79399727148703
Soccer_Weight_Std,8.054413378027967
ANOVA_Height_F,660.4057764108512
ANOVA_Height_P,5.691012863687687e-265
ANOVA_Weight_F,56327.92709462985
ANOVA_Weight_P,0.0
CohensD_H_Olympic_NBA,-1.5065208736261255
CohensD_W_Olympic_NBA,-10.607781781436753
CohensD_H_Olympic_Soccer,-0.9660894877889078
CohensD_W_Olympic_Soccer,-9.6072775447763
CohensD_H_NBA_Soccer,1.747141420534377
CohensD_W_NBA_Soccer,2.3071235617909203
