cluster_id,source_type,avg_normalized_rating,median_log_visits,peak_month_ratio,behavioral_diversity_score,region_count,avg_gdp_per_capita,avg_literacy_pct,avg_visa_free_score
0,Airbnb,0.5,2.9444389791664403,0.11206896551724138,0.0,7230,25000,85.0,150
1,Airbnb,0.5,1.3862943611198906,0.11206896551724138,0.0,8241,25000,85.0,150
2,Airbnb,0.8741182854042322,2.833213344056216,0.1120689655172414,0.12500173502562506,12901,25000,85.0,150
3,Airbnb,0.19083358350845592,2.6390573296152584,0.11206896551724137,0.10626414861260484,9993,25000,85.0,150
4,Airbnb,0.8787245822428025,4.330733340286331,0.11206896551724138,0.12495078683174361,9934,25000,85.0,150
5,Airbnb,0.0,4.330733340286331,0.11206896551724137,0.0,2906,25000,85.0,150
6,Airbnb,0.75,1.3862943611198906,0.11206896551724138,0.0,8334,25000,85.0,150
7,Airbnb,0.1853609126772577,1.0986122886681098,0.11206896551724138,0.10946614931118628,9379,25000,85.0,150
8,Airbnb,0.36407451532546303,4.3694478524670215,0.1120689655172414,0.12452836358709385,9233,25000,85.0,150
9,Airbnb,1.0,1.3862943611198906,0.11206896551724138,0.0,8209,25000,85.0,150
10,UK_Indoor,0.8769327332045991,10.696231168314535,0.02941176470588235,0.07503950034017112,2401,25000,85.0,150
11,UK_Indoor,0.5576573002754821,9.883641924315421,0.029411764705882353,0.22510941105696278,275,25000,85.0,150
12,UK_Outdoor,0.882545968770699,11.141499388575877,0.027777777777777776,0.06739685228083715,1588,25000,85.0,150
13,UK_Outdoor,0.6601233766027117,10.395084306452336,0.027777777777777776,0.11940533252912316,688,25000,85.0,150
14,UK_Outdoor,0.905377134166505,8.593042503699674,0.027777777777777776,0.08872544829836213,647,25000,85.0,150
15,Indonesia_TripAdvisor,0.5389577988377222,3.897823268167297,0.1111111111111111,0.10295963775830522,6,25000,85.0,150
16,Indonesia_TripAdvisor,0.3965360701241677,7.71244383427499,0.11111111111111112,0.08341067467740652,5,25000,85.0,150
17,Indonesia_TripAdvisor,0.2950297997545759,5.09910365116978,0.1111111111111111,0.11900747309943123,4,25000,85.0,150
18,Indonesia_TripAdvisor,0.6292503131739128,8.11969625295725,0.11111111111111112,0.03858474774562178,5,25000,85.0,150
19,Indonesia_TripAdvisor,0.9202043049615276,4.671735842289683,0.1111111111111111,0.06349888984858182,4,25000,85.0,150
20,Indonesia_TripAdvisor,0.048167939035860474,7.304259228995489,0.1111111111111111,0.0681197526560743,2,25000,85.0,150
21,Indonesia_TripAdvisor,0.9593380903481386,8.768729817231666,0.1111111111111111,,1,25000,85.0,150
22,Indonesia_TripAdvisor,0.6014612049183738,5.934894195619588,0.1111111111111111,0.05161677929001242,3,25000,85.0,150
