LocationID,zone,borough,avg_trip_distance,pt_commuting_pct,pickup_count
2,Jamaica Bay,Queens,14.36962962962963,19.216666666666665,27
3,Allerton/Pelham Gardens,Bronx,9.192265258215963,38.65565217391305,852
4,Alphabet City,Manhattan,9.124309716368607,49.86333333333334,35116
5,Arden Heights,Staten Island,11.83,16.605,2
6,Arrochar/Fort Wadsworth,Staten Island,7.893492063492063,29.642,315
7,Astoria,Queens,14.813050424363455,55.12179487179487,14021
8,Astoria Park,Queens,7.477112676056338,52.78857142857142,142
9,Auburndale,Queens,441.4952247191011,25.557391304347828,356
10,Baisley Park,Queens,20.104950417536536,39.276296296296294,7664
11,Bath Beach,Brooklyn,9.002813036020584,44.44863636363636,583
12,Battery Park,Manhattan,4.40513918199176,44.166666666666664,9951
13,Battery Park City,Manhattan,5.830074964466385,41.285,130862
14,Bay Ridge,Brooklyn,17.503466135458165,41.185,3012
15,Bay Terrace/Fort Totten,Queens,742.05469740634,19.525000000000002,347
16,Bayside,Queens,8.929065420560748,25.63705882352941,535
17,Bedford,Brooklyn,49.31953390467599,45.65125,6651
18,Bedford Park,Bronx,8.57561737804878,62.32695652173913,1312
19,Bellerose,Queens,75.40667073170732,21.077058823529413,820
20,Belmont,Bronx,8.484608599779493,55.25285714285714,907
21,Bensonhurst East,Brooklyn,7.254995159728945,44.98315789473685,1033
22,Bensonhurst West,Brooklyn,55.265434227330786,45.29058823529412,1566
23,Bloomfield/Emerson Hill,Staten Island,15.3725,19.426363636363636,88
24,Bloomingdale,Manhattan,13.329978811518828,49.56875,51915
25,Boerum Hill,Brooklyn,44.05606476938175,50.47842105263158,11209
26,Borough Park,Brooklyn,51.92686735193343,32.44274509803921,2043
27,Breezy Point/Fort Tilden/Riis Beach,Queens,9.946875,10.22,128
28,Briarwood/Jamaica Hills,Queens,16.494662038728535,46.608999999999995,2737
29,Brighton Beach,Brooklyn,9.530454545454544,40.0025,1496
30,Broad Channel,Queens,7.354615384615385,13.26,52
31,Bronx Park,Bronx,9.242606382978723,57.19,188
32,Bronxdale,Bronx,9.34304152637486,56.36666666666667,891
33,Brooklyn Heights,Brooklyn,40.7175,43.65294117647059,15208
34,Brooklyn Navy Yard,Brooklyn,5.068436055469954,42.56,1298
35,Brownsville,Brooklyn,6.00361985472155,67.47888888888889,5782
36,Bushwick North,Brooklyn,5.6489403973509935,56.55766666666667,4530
37,Bushwick South,Brooklyn,19.920766193887996,57.252978723404254,6839
38,Cambria Heights,Queens,107.34702304147466,26.965384615384615,1085
39,Canarsie,Brooklyn,29.553364952571144,48.66477272727273,8012
40,Carroll Gardens,Brooklyn,65.50056553911205,37.26923076923077,3784
41,Central Harlem,Manhattan,30.6129417280643,54.36526315789474,59720
42,Central Harlem North,Manhattan,21.08875909752547,61.198846153846155,30228
43,Central Park,Manhattan,2.9439491593085867,40.04384615384616,318131
44,Charleston/Tottenville,Staten Island,23.003999999999998,13.146,5
45,Chinatown,Manhattan,6.308094127037731,45.840999999999994,32573
46,City Island,Bronx,12.39663157894737,18.21,190
47,Claremont/Bathgate,Bronx,7.464956958393113,55.53523809523809,1394
48,Clinton East,Manhattan,3.3396861654563854,37.12842105263158,508835
49,Clinton Hill,Brooklyn,5.318875077688005,42.075599999999994,6436
