state_name,fossil_generation_MWh_2017,solar_potential_MWh_2017,industrial_price_cents_per_kWh_2017,fossil_dependency_index
Alabama,84459769.0,18961376.26552261,6.153333333333333,27.408828591114357
Alaska,4671259.0,466492.66416556283,16.335,163.5717378353427
Arizona,61043568.0,46393288.25368094,6.43,8.46049411487571
Arkansas,43648783.0,8941609.226907037,6.054166666666667,29.5536295954386
California,88687046.0,198016349.09015596,12.543333333333335,5.61787542007545
Colorado,41781708.0,19707578.98606006,7.488333333333333,15.875890029988408
Connecticut,16337200.0,9007032.805349149,13.094999999999999,23.752065594004126
Delaware,7107402.0,606866.0479016296,7.789166666666667,91.22398416655818
District of Columbia,19704.0,944972.7483829187,8.216666666666667,0.171328961895518
Florida,200080232.0,105062661.19982961,7.8275,14.906609047349544
Georgia,85492334.0,32576348.79164319,5.948333333333333,15.610616872051713
Hawaii,8009317.0,6004369.356988863,22.944166666666664,30.605562917322626
Idaho,3103412.0,5960248.930855732,6.395,3.329780344786807
Illinois,73047639.0,32324411.205758005,6.473333333333334,14.628625822448647
Indiana,90486195.0,18252345.830981076,7.5425,37.392022488915096
Iowa,30072398.0,6862785.798475463,6.173333333333333,27.05125038696491
Kansas,21590845.0,8588087.716692947,7.5375000000000005,18.949619467809466
Kentucky,68113907.0,10521020.88287411,5.715,36.999354229839696
Louisiana,75886772.0,19514868.56610031,5.476666666666667,21.296917949798146
Maine,2437394.0,1792812.8490734724,9.216666666666667,12.530392140452967
Maryland,15345207.0,8946581.223656269,8.375833333333334,14.366258248195182
Massachusetts,23554384.0,14861911.464302264,13.875833333333333,21.991565986540994
Michigan,69267717.0,26957195.7250934,7.195,18.48787347532134
Minnesota,29524641.0,14814779.91943278,7.3675,14.682823082789906
Mississippi,50798162.0,8099423.091724777,5.9875,37.55255053730379
Missouri,72784951.0,20834852.212380763,7.299166666666667,25.49907639174271
Montana,14739276.0,2228184.44464436,5.233333333333333,34.61811457547967
Nebraska,21808560.0,6101929.126420673,7.599166666666666,27.15975206634588
Nevada,28500243.0,13023482.533241136,6.0683333333333325,13.279779364971313
New Hampshire,3972280.0,2056880.746875028,12.344166666666666,23.839246121178217
New Jersey,39080300.0,15068963.323295942,10.106666666666667,26.210931492727507
New Mexico,27586992.0,10126444.433428217,6.149166666666667,16.75188292941345
New York,48639946.0,34926132.118292466,5.914166666666667,8.236375740874069
North Carolina,73301346.0,30266634.936744116,6.199166666666667,15.01347149079144
North Dakota,27468221.0,2069035.8177541264,7.631666666666667,101.31690558449505
Ohio,98384251.0,34781404.56004493,6.915833333333333,19.56243835312079
Oklahoma,47834478.0,16312232.880135436,5.413333333333333,15.874220049625116
Oregon,16804876.0,12738697.67916768,5.9775,7.885511440802421
Pennsylvania,120493135.0,24291061.127620917,6.771666666666667,33.59010714084768
Rhode Island,7246599.0,3102479.3257755474,14.571666666666667,34.035690171312815
South Carolina,35405738.0,20497108.25315587,6.18,10.675040505106908
South Dakota,2719839.0,1610011.031313136,7.8325,13.231672673773554
Tennessee,38107309.0,24606222.447638176,5.829166666666667,9.027548046103604
Texas,339324066.0,117155158.43536456,5.3525,15.502792088041344
Utah,32298834.0,11428616.983157644,6.114166666666667,17.27947086738728
Vermont,8940.0,420338.38681933575,10.213333333333333,0.2172230823144983
Virginia,55689435.0,16507947.120354876,6.508333333333333,21.9558133717361
Washington,16361889.0,20652109.612089723,4.600833333333333,3.6450670522992064
West Virginia,69995518.0,1857680.8311854017,6.648333333333333,250.5024155340976
Wisconsin,49652302.0,18412131.577526703,7.484999999999999,20.18492421179641
Wyoming,40891403.0,1108615.382176719,6.918333333333333,255.18350274574388
