source,entity_id,entity_name,tas_score
Airbnb,40140628,Artsy Harlem Guest Space,13.527444910960009
FISETIO_outdoor,70,Statue of Liberty,5.719133660309277
FISETIO_outdoor,70,Statue of Liberty,5.6112871147936065
FISETIO_outdoor,70,Statue of Liberty,5.383830170156899
FISETIO_outdoor,70,Statue of Liberty,4.521547731528398
FISETIO_outdoor,70,Statue of Liberty,4.516601100984084
FISETIO_outdoor,70,Statue of Liberty,4.410307633025239
FISETIO_outdoor,70,Statue of Liberty,4.289685490644911
FISETIO_outdoor,57,Mount Rushmore,4.268620702900011
FISETIO_outdoor,57,Mount Rushmore,4.120300103015035
